TÊN ĐỊA DANH;Mã địa danh
Thành phố Hà Nội;01
Quận Ba Đình;01.001
Quận Hoàn Kiếm;01.002
Quận Tây Hồ;01.003
Quận Long Biên;01.004
Quận Cầu Giấy;01.005
Quận Đống Đa;01.006
Quận Hai Bà Trưng;01.007
Quận Hoàng Mai;01.008
Quận Thanh Xuân;01.009
Huyện Sóc Sơn;01.016
Huyện Đông Anh;01.017
Huyện Gia Lâm;01.018
Quận Nam Từ Liêm;01.019
Huyện Thanh Trì;01.020
Quận Bắc Từ Liêm;01.021
Huyện Mê Linh;01.250
Quận Hà Đông;01.268
Thị xã Sơn Tây;01.269
Huyện Ba Vì;01.271
Huyện Phúc Thọ;01.272
Huyện Đan Phượng;01.273
Huyện Hoài Đức;01.274
Huyện Quốc Oai;01.275
Huyện Thạch Thất;01.276
Huyện Chương Mỹ;01.277
Huyện Thanh Oai;01.278
Huyện Thường Tín;01.279
Huyện Phú Xuyên;01.280
Huyện Ứng Hòa;01.281
Huyện Mỹ Đức;01.282
Tỉnh Hà Giang;02
Thành phố Hà Giang;02.024
Huyện Đồng Văn;02.026
Huyện Mèo Vạc;02.027
Huyện Yên Minh;02.028
Huyện Quản Bạ;02.029
Huyện Vị Xuyên;02.030
Huyện Bắc Mê;02.031
Huyện Hoàng Su Phì;02.032
Huyện Xín Mần;02.033
Huyện Bắc Quang;02.034
Huyện Quang Bình;02.035
Tỉnh Cao Bằng;04
Thành phố Cao Bằng;04.040
Huyện Bảo Lâm;04.042
Huyện Bảo Lạc;04.043
Huyện Thông Nông;04.044
Huyện Hà Quảng;04.045
Huyện Trà Lĩnh;04.046
Huyện Trùng Khánh;04.047
Huyện Hạ Lang;04.048
Huyện Quảng Uyên;04.049
Huyện Phục Hoà;04.050
Huyện Hoà An;04.051
Huyện Nguyên Bình;04.052
Huyện Thạch An;04.053
Tỉnh Bắc Kạn;06
Thành Phố Bắc Kạn;06.0580
Huyện Pác Nặm;06.060
Huyện Ba Bể;06.061
Huyện Ngân Sơn;06.062
Huyện Bạch Thông;06.063
Huyện Chợ Đồn;06.064
Huyện Chợ Mới;06.065
Huyện Na Rì;06.066
Tỉnh Tuyên Quang;08
Thành phố Tuyên Quang;08.070
Huyện Lâm Bình;08.071
Huyện Nà Hang;08.072
Huyện Chiêm Hóa;08.073
Huyện Hàm Yên;08.074
Huyện Yên Sơn;08.075
Huyện Sơn Dương;08.076
Tỉnh Lào Cai;10
Thành phố Lào Cai;10.080
Huyện Bát Xát;10.082
Huyện Mường Khương;10.083
Huyện Si Ma Cai;10.084
Huyện Bắc Hà;10.085
Huyện Bảo Thắng;10.086
Huyện Bảo Yên;10.087
Huyện Sa Pa;10.088
Huyện Văn Bàn;10.089
Tỉnh Điện Biên;11
Thành phố Điện Biên Phủ;11.094
Thị Xã Mường Lay;11.095
Huyện Mường Nhé;11.096
Huyện Mường Chà;11.097
Huyện Tủa Chùa;11.098
Huyện Tuần Giáo;11.099
Huyện Điện Biên;11.100
Huyện Điện Biên Đông;11.101
Huyện Mường Ảng;11.102
Huyện Nậm Pồ;11.103
Tỉnh Lai Châu;12
Thành phố Lai Châu;12.105
Huyện Tam Đường;12.106
Huyện Mường Tè;12.107
Huyện Sìn Hồ;12.108
Huyện Phong Thổ;12.109
Huyện Than Uyên;12.110
Huyện Tân Uyên;12.111
Huyện Nậm Nhùn;12.112
Tỉnh Sơn La;14
Thành phố Sơn La;14.116
Huyện Quỳnh Nhai;14.118
Huyện Thuận Châu;14.119
Huyện Mường La;14.120
Huyện Bắc Yên;14.121
Huyện Phù Yên;14.122
Huyện Mộc Châu;14.123
Huyện Yên Châu;14.124
Huyện Mai Sơn;14.125
Huyện Sông Mã;14.126
Huyện Sốp Cộp;14.127
Huyện Vân Hồ;14.128
Tỉnh Yên Bái;15
Thành phố Yên Bái;15.132
Thị xã Nghĩa Lộ;15.133
Huyện Lục Yên;15.135
Huyện Văn Yên;15.136
Huyện Mù Căng Chải;15.137
